                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.81071,                0.45869,                 1.0331,                0.90475,                0.87852,                0.93818,                0.67946,                0.83207,                0.47264,                 1.0266,              0.0002972,              0.0002972,              0.0002972
                     88,                0.79417,                0.44615,                 1.0284,                0.90908,                0.88824,                0.94028,                0.68253,                 0.8413,                0.47373,                 1.0364,              0.0002774,              0.0002774,              0.0002774
                     89,                0.79123,                0.43715,                 1.0222,                0.90331,                0.89879,                0.94907,                0.69065,                0.84017,                0.45999,                 1.0354,              0.0002576,              0.0002576,              0.0002576
                     90,                0.79299,                0.43283,                 1.0188,                0.91005,                0.89213,                0.94515,                0.68556,                0.82948,                0.46351,                 1.0282,              0.0002378,              0.0002378,              0.0002378
                     91,                0.69925,                0.38788,                0.97634,                0.90793,                0.88533,                0.94014,                0.67669,                0.84802,                0.49111,                  1.048,               0.000218,               0.000218,               0.000218
                     92,                0.71396,                0.38712,                0.98602,                 0.9125,                0.88435,                0.94394,                0.68518,                0.83839,                0.46213,                  1.039,              0.0001982,              0.0001982,              0.0001982
                     93,                0.70522,                0.38112,                0.97731,                0.90096,                0.88727,                0.93853,                0.68024,                0.84565,                0.46973,                 1.0456,              0.0001784,              0.0001784,              0.0001784
                     94,                0.70552,                 0.3734,                0.98038,                0.90149,                0.89407,                0.93973,                 0.6819,                0.84051,                0.46324,                 1.0433,              0.0001586,              0.0001586,              0.0001586
                     95,                0.71739,                0.37841,                0.97073,                0.91225,                0.88902,                0.94126,                0.68062,                0.83748,                0.45704,                 1.0394,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.6935,                0.35836,                0.96112,                0.91478,                0.88667,                0.94035,                0.68506,                0.83708,                0.45985,                 1.0392,               0.000119,               0.000119,               0.000119
                     97,                0.70107,                0.37163,                0.98326,                0.90336,                0.89025,                0.94172,                0.68684,                0.83093,                0.45952,                  1.032,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.68317,                0.35055,                0.96704,                 0.9136,                0.88338,                0.94139,                0.68603,                0.83291,                0.46164,                 1.0343,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.68999,                 0.3614,                0.96338,                 0.9055,                0.88241,                0.94231,                0.68688,                0.83137,                0.45675,                 1.0332,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.69683,                0.36854,                0.95874,                0.90918,                0.88528,                0.94224,                 0.6852,                0.82982,                0.45637,                 1.0324,               3.98e-05,               3.98e-05,               3.98e-05
